Ticker,URL
PCAR,https://www.tradingview.com/chart/sWFIrRUP/?symbol=PCAR
NVDA,https://www.tradingview.com/chart/sWFIrRUP/?symbol=NVDA
V,https://www.tradingview.com/chart/sWFIrRUP/?symbol=V
JPM,https://www.tradingview.com/chart/sWFIrRUP/?symbol=JPM
NVO,https://www.tradingview.com/chart/sWFIrRUP/?symbol=NVO
AVGO,https://www.tradingview.com/chart/sWFIrRUP/?symbol=AVGO
ASML,https://www.tradingview.com/chart/sWFIrRUP/?symbol=ASML
SHEL,https://www.tradingview.com/chart/sWFIrRUP/?symbol=SHEL
AZN,https://www.tradingview.com/chart/sWFIrRUP/?symbol=AZN
TTE,https://www.tradingview.com/chart/sWFIrRUP/?symbol=TTE
HSBC,https://www.tradingview.com/chart/sWFIrRUP/?symbol=HSBC
BUD,https://www.tradingview.com/chart/sWFIrRUP/?symbol=BUD
SBUX,https://www.tradingview.com/chart/sWFIrRUP/?symbol=SBUX
GILD,https://www.tradingview.com/chart/sWFIrRUP/?symbol=GILD
SYK,https://www.tradingview.com/chart/sWFIrRUP/?symbol=SYK
NOW,https://www.tradingview.com/chart/sWFIrRUP/?symbol=NOW
ITW,https://www.tradingview.com/chart/sWFIrRUP/?symbol=ITW
ETN,https://www.tradingview.com/chart/sWFIrRUP/?symbol=ETN
HCA,https://www.tradingview.com/chart/sWFIrRUP/?symbol=HCA
BSX,https://www.tradingview.com/chart/sWFIrRUP/?symbol=BSX
EQIX,https://www.tradingview.com/chart/sWFIrRUP/?symbol=EQIX
ABB,https://www.tradingview.com/chart/sWFIrRUP/?symbol=ABB
MELI,https://www.tradingview.com/chart/sWFIrRUP/?symbol=MELI
MPC,https://www.tradingview.com/chart/sWFIrRUP/?symbol=MPC
PANW,https://www.tradingview.com/chart/sWFIrRUP/?symbol=PANW
SNPS,https://www.tradingview.com/chart/sWFIrRUP/?symbol=SNPS
MNST,https://www.tradingview.com/chart/sWFIrRUP/?symbol=MNST
ORLY,https://www.tradingview.com/chart/sWFIrRUP/?symbol=ORLY
MAR,https://www.tradingview.com/chart/sWFIrRUP/?symbol=MAR
HSY,https://www.tradingview.com/chart/sWFIrRUP/?symbol=HSY
RACE,https://www.tradingview.com/chart/sWFIrRUP/?symbol=RACE
TAK,https://www.tradingview.com/chart/sWFIrRUP/?symbol=TAK
VMW,https://www.tradingview.com/chart/sWFIrRUP/?symbol=VMW
AZO,https://www.tradingview.com/chart/sWFIrRUP/?symbol=AZO
FTNT,https://www.tradingview.com/chart/sWFIrRUP/?symbol=FTNT
PH,https://www.tradingview.com/chart/sWFIrRUP/?symbol=PH
ECL,https://www.tradingview.com/chart/sWFIrRUP/?symbol=ECL
HMC,https://www.tradingview.com/chart/sWFIrRUP/?symbol=HMC
MCHP,https://www.tradingview.com/chart/sWFIrRUP/?symbol=MCHP
TT,https://www.tradingview.com/chart/sWFIrRUP/?symbol=TT
STM,https://www.tradingview.com/chart/sWFIrRUP/?symbol=STM
ANET,https://www.tradingview.com/chart/sWFIrRUP/?symbol=ANET
CMG,https://www.tradingview.com/chart/sWFIrRUP/?symbol=CMG
IDXX,https://www.tradingview.com/chart/sWFIrRUP/?symbol=IDXX
BIIB,https://www.tradingview.com/chart/sWFIrRUP/?symbol=BIIB
ROST,https://www.tradingview.com/chart/sWFIrRUP/?symbol=ROST
OTIS,https://www.tradingview.com/chart/sWFIrRUP/?symbol=OTIS
GFS,https://www.tradingview.com/chart/sWFIrRUP/?symbol=GFS
PCG,https://www.tradingview.com/chart/sWFIrRUP/?symbol=PCG
CPRT,https://www.tradingview.com/chart/sWFIrRUP/?symbol=CPRT
AME,https://www.tradingview.com/chart/sWFIrRUP/?symbol=AME
PPG,https://www.tradingview.com/chart/sWFIrRUP/?symbol=PPG
DELL,https://www.tradingview.com/chart/sWFIrRUP/?symbol=DELL
LEN,https://www.tradingview.com/chart/sWFIrRUP/?symbol=LEN
TTD,https://www.tradingview.com/chart/sWFIrRUP/?symbol=TTD
ANSS,https://www.tradingview.com/chart/sWFIrRUP/?symbol=ANSS
ULTA,https://www.tradingview.com/chart/sWFIrRUP/?symbol=ULTA
ACGL,https://www.tradingview.com/chart/sWFIrRUP/?symbol=ACGL
ZBH,https://www.tradingview.com/chart/sWFIrRUP/?symbol=ZBH
YUMC,https://www.tradingview.com/chart/sWFIrRUP/?symbol=YUMC
TCOM,https://www.tradingview.com/chart/sWFIrRUP/?symbol=TCOM
VMC,https://www.tradingview.com/chart/sWFIrRUP/?symbol=VMC
RCI,https://www.tradingview.com/chart/sWFIrRUP/?symbol=RCI
TEF,https://www.tradingview.com/chart/sWFIrRUP/?symbol=TEF
IR,https://www.tradingview.com/chart/sWFIrRUP/?symbol=IR
MPWR,https://www.tradingview.com/chart/sWFIrRUP/?symbol=MPWR
MLM,https://www.tradingview.com/chart/sWFIrRUP/?symbol=MLM
GIB,https://www.tradingview.com/chart/sWFIrRUP/?symbol=GIB
ZTO,https://www.tradingview.com/chart/sWFIrRUP/?symbol=ZTO
OMC,https://www.tradingview.com/chart/sWFIrRUP/?symbol=OMC
HWM,https://www.tradingview.com/chart/sWFIrRUP/?symbol=HWM
SEDG,https://www.tradingview.com/chart/sWFIrRUP/?symbol=SEDG
DRI,https://www.tradingview.com/chart/sWFIrRUP/?symbol=DRI
ROL,https://www.tradingview.com/chart/sWFIrRUP/?symbol=ROL
COO,https://www.tradingview.com/chart/sWFIrRUP/?symbol=COO
KOF,https://www.tradingview.com/chart/sWFIrRUP/?symbol=KOF
AXON,https://www.tradingview.com/chart/sWFIrRUP/?symbol=AXON
RE,https://www.tradingview.com/chart/sWFIrRUP/?symbol=RE
